budget,revenue,runtime,rating,votes,year,roi,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_Foreign,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_Thriller,genre_War,genre_Western,label
-0.6487284987361347,0.11737310964503686,0.5226034780464944,0.31163362313495974,-0.6161036728117288,1.1345213803114549,1.3084901601417696,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0.23080999863560356,1.921932787239947,-0.18094237465940421,0.42691219288616356,3.404235588994001,-0.08458133727165011,1.4639376522387006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1.4545157341093264,1.7619810235800004,0.2713371020801021,-0.841152074377083,0.23814192984897112,0.4030597497615919,0.1785067465640579,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2.6017398611159415,1.8491069391383157,-0.9849947777518598,-0.38003779537226545,-0.023761449763335152,0.24051272075051125,-0.19667013792950458,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2.98414790345148,3.1137421722694993,-0.4824620258190751,-0.03420208611865286,1.7703990853377911,0.646880293278213,0.1158461171751436,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1.2633117129415572,2.670356435060848,0.17083055169354514,1.003305041642185,1.3016654666858598,-0.9785899968325938,0.7703304154352745,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3.3665559457870184,3.5628956226052053,1.0251362299792792,-0.03420208611865286,-0.0604768768117893,-0.16585485177719045,0.1390591371606789,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
2.98414790345148,2.2190981348225467,0.2210838268868236,-1.1869877836306955,1.3041131618224235,0.4030597497615919,-0.16805737254105885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
3.3665559457870184,2.640685799670907,-0.18094237465940421,-1.1869877836306955,0.3274828023335429,0.07796569173943056,-0.12920439711011003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3.3665559457870184,1.404915712200284,-1.5880340800712016,-0.9564306441282867,-0.04089531571928042,-0.0033078227661097726,-0.488680129168767,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
